MS Mass (solMass),Period (days),Inclination (degs),Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.707,0.6951927961775606,35.0,0.960223999155399,0.960223999155399,0.0,0
0.707,0.6951927961775606,40.0,1.0622602608176357,1.0622602608176357,0.0,0
0.707,0.6951927961775606,45.0,1.152154485587985,1.152154485587985,0.0,0
0.707,0.6951927961775606,50.0,1.2297657272309184,1.2297657272309184,0.0,0
0.707,0.6951927961775606,55.0,1.294815466460476,1.294815466460476,0.0,0
0.707,0.6951927961775606,60.0,1.3479598567609032,1.3479598567609032,0.0,0
0.707,0.6951927961775606,65.0,1.3899550927866933,1.3899550927866933,0.0,0
0.707,0.6951927961775606,70.0,1.4221131221455945,1.4221131221455945,0.0,0
0.707,0.6951927961775606,75.0,1.4452792156732457,1.4452792156732457,0.0,0
0.707,0.6951927961775606,80.0,2.7253991135965867,1.4609212781010137,1.264477835495573,1
0.707,0.6951927961775606,85.0,4.034334570037129,1.4700242207249745,2.564310349312154,1
0.707,0.6951927961775606,90.0,4.031852354043071,1.4732807439240128,2.558571610119058,1
0.707,0.8858667904100825,0.0,-0.0,-0.0,0.0,0
0.707,0.8858667904100825,5.0,0.1409564660108078,0.1409564660108078,0.0,0
0.707,0.8858667904100825,10.0,0.2801311873422322,0.2801311873422322,0.0,0
0.707,0.8858667904100825,15.0,0.4159197052874187,0.4159197052874187,0.0,0
0.707,0.8858667904100825,20.0,0.5464338291823803,0.5464338291823803,0.0,0
0.707,0.8858667904100825,25.0,0.6701473669897751,0.6701473669897751,0.0,0
0.707,0.8858667904100825,30.0,0.7857812898824612,0.7857812898824612,0.0,0
0.707,0.8858667904100825,35.0,0.8919176980419002,0.8919176980419002,0.0,0
0.707,0.8858667904100825,40.0,0.9873535639237901,0.9873535639237901,0.0,0
0.707,0.8858667904100825,45.0,1.0717487607582492,1.0717487607582492,0.0,0
0.707,0.8858667904100825,50.0,1.1446294860916493,1.1446294860916493,0.0,0
0.707,0.8858667904100825,55.0,1.2063104167214433,1.2063104167214433,0.0,0
0.707,0.8858667904100825,60.0,1.2568559886545199,1.2568559886545199,0.0,0
0.707,0.8858667904100825,65.0,1.2970910007009873,1.2970910007009873,0.0,0
0.707,0.8858667904100825,70.0,1.327976828294688,1.327976828294688,0.0,0
0.707,0.8858667904100825,75.0,1.3503126761441249,1.3503126761441249,0.0,0
0.707,0.8858667904100825,80.0,1.7149713374688522,1.3653722497029523,0.3495990877658999,1
0.707,0.8858667904100825,85.0,3.9390499674710377,1.3740735927676584,2.564976374703379,1
0.707,0.8858667904100825,90.0,3.9343669062728326,1.3772153924687,2.5571515138041327,1
0.707,1.1288378916846888,0.0,-0.0,-0.0,0.0,0
0.707,1.1288378916846888,5.0,0.13000529582769763,0.13000529582769763,0.0,0
0.707,1.1288378916846888,10.0,0.25847119670076046,0.25847119670076046,0.0,0
0.707,1.1288378916846888,15.0,0.3836794075334144,0.3836794075334144,0.0,0
0.707,1.1288378916846888,20.0,0.5039533694232061,0.5039533694232061,0.0,0
0.707,1.1288378916846888,25.0,0.6182652519098988,0.6182652519098988,0.0,0
0.707,1.1288378916846888,30.0,0.7253090660691208,0.7253090660691208,0.0,0
0.707,1.1288378916846888,35.0,0.8234283807700195,0.8234283807700195,0.0,0
0.707,1.1288378916846888,40.0,0.9120068642263861,0.9120068642263861,0.0,0
0.707,1.1288378916846888,45.0,0.9904894830970463,0.9904894830970463,0.0,0
0.707,1.1288378916846888,50.0,1.0585262669062547,1.0585262669062547,0.0,0
0.707,1.1288378916846888,55.0,1.116378880309767,1.116378880309767,0.0,0
0.707,1.1288378916846888,60.0,1.1640719248898017,1.1640719248898017,0.0,0
0.707,1.1288378916846888,65.0,1.2021677060965126,1.2021677060965126,0.0,0
0.707,1.1288378916846888,70.0,1.2316505851334358,1.2316505851334358,0.0,0
0.707,1.1288378916846888,75.0,1.2530611755974705,1.2530611755974705,0.0,0
0.707,1.1288378916846888,80.0,1.2674671771031354,1.2674671771031354,0.0,0
0.707,1.1288378916846888,85.0,3.8439593159473673,1.275745708291573,2.568213607655794,1
0.707,1.1288378916846888,90.0,3.8357447646122496,1.2787235538856292,2.5570212107266204,1
0.707,1.438449888287663,0.0,-0.0,-0.0,0.0,0
0.707,1.438449888287663,5.0,0.11906605741538485,0.11906605741538485,0.0,0
0.707,1.438449888287663,10.0,0.23686826306041203,0.23686826306041203,0.0,0
0.707,1.438449888287663,15.0,0.3514107778750883,0.3514107778750883,0.0,0
0.707,1.438449888287663,20.0,0.46160070785659846,0.46160070785659846,0.0,0
0.707,1.438449888287663,25.0,0.5665590312957485,0.5665590312957485,0.0,0
0.707,1.438449888287663,30.0,0.6647549790754831,0.6647549790754831,0.0,0
0.707,1.438449888287663,35.0,0.7547433682476457,0.7547433682476457,0.0,0
0.707,1.438449888287663,40.0,0.8366482345889036,0.8366482345889036,0.0,0
0.707,1.438449888287663,45.0,0.908825252476218,0.908825252476218,0.0,0
0.707,1.438449888287663,50.0,0.9721449858342368,0.9721449858342368,0.0,0
0.707,1.438449888287663,55.0,1.0258151385575287,1.0258151385575287,0.0,0
0.707,1.438449888287663,60.0,1.0704209227498749,1.0704209227498749,0.0,0
0.707,1.438449888287663,65.0,1.106217433978689,1.106217433978689,0.0,0
0.707,1.438449888287663,70.0,1.134255254899331,1.134255254899331,0.0,0
0.707,1.438449888287663,75.0,1.1545117694152718,1.1545117694152718,0.0,0
0.707,1.438449888287663,80.0,1.1682810926414429,1.1682810926414429,0.0,0
0.707,1.438449888287663,85.0,3.750220745674065,1.1761567148995857,2.574064030774479,1
0.707,1.438449888287663,90.0,3.7367881762754735,1.1789927162321283,2.5577954600433452,1
0.707,1.8329807108324356,0.0,-0.0,-0.0,0.0,0
0.707,1.8329807108324356,5.0,0.10838145185822214,0.10838145185822214,0.0,0
0.707,1.8329807108324356,10.0,0.21557533220029182,0.21557533220029182,0.0,0
0.707,1.8329807108324356,15.0,0.31993106657802634,0.31993106657802634,0.0,0
0.707,1.8329807108324356,20.0,0.42031300882931366,0.42031300882931366,0.0,0
0.707,1.8329807108324356,25.0,0.5158218178993357,0.5158218178993357,0.0,0
0.707,1.8329807108324356,30.0,0.6052342976831094,0.6052342976831094,0.0,0
0.707,1.8329807108324356,35.0,0.6874461035975082,0.6874461035975082,0.0,0
0.707,1.8329807108324356,40.0,0.7623388500372353,0.7623388500372353,0.0,0
0.707,1.8329807108324356,45.0,0.828509690507784,0.828509690507784,0.0,0
0.707,1.8329807108324356,50.0,0.8866860705015643,0.8866860705015643,0.0,0
0.707,1.8329807108324356,55.0,0.9361964638652167,0.9361964638652167,0.0,0
0.707,1.8329807108324356,60.0,0.9774683306642149,0.9774683306642149,0.0,0
0.707,1.8329807108324356,65.0,1.0107181063601012,1.0107181063601012,0.0,0
0.707,1.8329807108324356,70.0,1.0370139203058617,1.0370139203058617,0.0,0
0.707,1.8329807108324356,75.0,1.0560288028651252,1.0560288028651252,0.0,0
0.707,1.8329807108324356,80.0,1.0690828001829598,1.0690828001829598,0.0,0
0.707,1.8329807108324356,85.0,2.793752263693035,1.0765023503610052,1.7172499133320298,1
0.707,1.8329807108324356,90.0,3.6384965904574247,1.0791951358572363,2.559301454600188,1
0.707,2.3357214690901213,0.0,-0.0,-0.0,0.0,0
0.707,2.3357214690901213,5.0,0.09792606984982716,0.09792606984982716,0.0,0
0.707,2.3357214690901213,10.0,0.19479090044358102,0.19479090044358102,0.0,0
0.707,2.3357214690901213,15.0,0.289095007468472,0.289095007468472,0.0,0
0.707,2.3357214690901213,20.0,0.3797898847665402,0.3797898847665402,0.0,0
0.707,2.3357214690901213,25.0,0.46609814264476357,0.46609814264476357,0.0,0
0.707,2.3357214690901213,30.0,0.5470044181362633,0.5470044181362633,0.0,0
0.707,2.3357214690901213,35.0,0.6214344907926765,0.6214344907926765,0.0,0
0.707,2.3357214690901213,40.0,0.6893595092502457,0.6893595092502457,0.0,0
0.707,2.3357214690901213,45.0,0.7494841017938031,0.7494841017938031,0.0,0
0.707,2.3357214690901213,50.0,0.802471001129471,0.802471001129471,0.0,0
0.707,2.3357214690901213,55.0,0.8477812426333776,0.8477812426333776,0.0,0
0.707,2.3357214690901213,60.0,0.8856427410363601,0.8856427410363601,0.0,0
0.707,2.3357214690901213,65.0,0.9162794168492161,0.9162794168492161,0.0,0
0.707,2.3357214690901213,70.0,0.9406635322457015,0.9406635322457015,0.0,0
0.707,2.3357214690901213,75.0,0.9583962628214706,0.9583962628214706,0.0,0
0.707,2.3357214690901213,80.0,0.9706286741748739,0.9706286741748739,0.0,0
0.707,2.3357214690901213,85.0,1.5350829749534654,0.977599311694925,0.5574836632585404,1
0.707,2.3357214690901213,90.0,3.5414660747536137,0.9801741266480867,2.561291948105527,1
0.707,2.9763514416313175,0.0,-0.0,-0.0,0.0,0
0.707,2.9763514416313175,5.0,0.08774194212231619,0.08774194212231619,0.0,0
0.707,2.9763514416313175,10.0,0.17411941074796505,0.17411941074796505,0.0,0
0.707,2.9763514416313175,15.0,0.25859655435051826,0.25859655435051826,0.0,0
0.707,2.9763514416313175,20.0,0.33999151647005066,0.33999151647005066,0.0,0
0.707,2.9763514416313175,25.0,0.41733664443541807,0.41733664443541807,0.0,0
0.707,2.9763514416313175,30.0,0.48996560121171606,0.48996560121171606,0.0,0
0.707,2.9763514416313175,35.0,0.55673232446744,0.55673232446744,0.0,0
0.707,2.9763514416313175,40.0,0.6177608784348934,0.6177608784348934,0.0,0
0.707,2.9763514416313175,45.0,0.6719667707895903,0.6719667707895903,0.0,0
0.707,2.9763514416313175,50.0,0.7197174790907073,0.7197174790907073,0.0,0
0.707,2.9763514416313175,55.0,0.7608140208960468,0.7608140208960468,0.0,0
0.707,2.9763514416313175,60.0,0.7953772722388662,0.7953772722388662,0.0,0
0.707,2.9763514416313175,65.0,0.8234552626421899,0.8234552626421899,0.0,0
0.707,2.9763514416313175,70.0,0.8458866886339611,0.8458866886339611,0.0,0
0.707,2.9763514416313175,75.0,0.8623342526875923,0.8623342526875923,0.0,0
0.707,2.9763514416313175,80.0,0.8736675137956964,0.8736675137956964,0.0,0
0.707,2.9763514416313175,85.0,0.9006044726396134,0.8802167025517359,0.02038777008787751,1
0.707,2.9763514416313175,90.0,3.446239988654175,0.8826181557147784,2.5636218329393965,1
0.707,3.79269019073225,0.0,-0.0,-0.0,0.0,0
0.707,3.79269019073225,5.0,0.0775710657503118,0.0775710657503118,0.0,0
0.707,3.79269019073225,10.0,0.1541810045655861,0.1541810045655861,0.0,0
0.707,3.79269019073225,15.0,0.22889773768812985,0.22889773768812985,0.0,0
0.707,3.79269019073225,20.0,0.30124609823984866,0.30124609823984866,0.0,0
0.707,3.79269019073225,25.0,0.3696773704543541,0.3696773704543541,0.0,0
0.707,3.79269019073225,30.0,0.43435078669882365,0.43435078669882365,0.0,0
0.707,3.79269019073225,35.0,0.493718607809412,0.493718607809412,0.0,0
0.707,3.79269019073225,40.0,0.5480467874991392,0.5480467874991392,0.0,0
0.707,3.79269019073225,45.0,0.5964678172181828,0.5964678172181828,0.0,0
0.707,3.79269019073225,50.0,0.6392699677883401,0.6392699677883401,0.0,0
