MS Mass (solMass),Period (days),Inclination (degs),Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.475,0.26366508987303583,55.0,1.1380472394033674,1.1380472394033674,0.0,0
0.475,0.26366508987303583,60.0,1.1853492805465269,1.1853492805465269,0.0,0
0.475,0.26366508987303583,65.0,1.2228224754088157,1.2228224754088157,0.0,0
0.475,0.26366508987303583,70.0,1.2609694398177211,1.2519566213949451,0.009012818422776014,1
0.475,0.26366508987303583,75.0,1.9738058632917042,1.273396450216715,0.7004094130749892,1
0.475,0.26366508987303583,80.0,5.664235695235939,1.2883680933572412,4.3758676018786975,1
0.475,0.26366508987303583,85.0,5.6510809960091555,1.2972765306938268,4.353804465315329,1
0.475,0.26366508987303583,90.0,5.648297680352149,1.30055911716008,4.347738563192069,1
0.475,0.33598182862837817,0.0,-0.0,-0.0,0.0,0
0.475,0.33598182862837817,5.0,0.12565934212150448,0.12565934212150448,0.0,0
0.475,0.33598182862837817,10.0,0.24914790321019134,0.24914790321019134,0.0,0
0.475,0.33598182862837817,15.0,0.369870559428907,0.369870559428907,0.0,0
0.475,0.33598182862837817,20.0,0.4861843318510508,0.4861843318510508,0.0,0
0.475,0.33598182862837817,25.0,0.597074546525898,0.597074546525898,0.0,0
0.475,0.33598182862837817,30.0,0.7006456283049528,0.7006456283049528,0.0,0
0.475,0.33598182862837817,35.0,0.7956580305649328,0.7956580305649328,0.0,0
0.475,0.33598182862837817,40.0,0.8819988148551021,0.8819988148551021,0.0,0
0.475,0.33598182862837817,45.0,0.9581522387743681,0.9581522387743681,0.0,0
0.475,0.33598182862837817,50.0,1.0244546061189794,1.0244546061189794,0.0,0
0.475,0.33598182862837817,55.0,1.0804348868943838,1.0804348868943838,0.0,0
0.475,0.33598182862837817,60.0,1.1263276163293718,1.1263276163293718,0.0,0
0.475,0.33598182862837817,65.0,1.1630713619790234,1.1630713619790234,0.0,0
0.475,0.33598182862837817,70.0,1.1916680015964527,1.1916680015964527,0.0,0
0.475,0.33598182862837817,75.0,1.4350280188429383,1.2125468326395668,0.22248118620337154,1
0.475,0.33598182862837817,80.0,3.600942641204916,1.2270113876814805,2.373931253523436,1
0.475,0.33598182862837817,85.0,5.581143864666748,1.235545404143343,4.345598460523405,1
0.475,0.33598182862837817,90.0,5.576546255521127,1.2386789600400772,4.33786729548105,1
0.475,0.42813323987193935,0.0,-0.0,-0.0,0.0,0
0.475,0.42813323987193935,5.0,0.11736467708812917,0.11736467708812917,0.0,0
0.475,0.42813323987193935,10.0,0.23325554761674847,0.23325554761674847,0.0,0
0.475,0.42813323987193935,15.0,0.3464248000064436,0.3464248000064436,0.0,0
0.475,0.42813323987193935,20.0,0.4551926756181809,0.4551926756181809,0.0,0
0.475,0.42813323987193935,25.0,0.5588200931792722,0.5588200931792722,0.0,0
0.475,0.42813323987193935,30.0,0.6559025166628883,0.6559025166628883,0.0,0
0.475,0.42813323987193935,35.0,0.7454600345643894,0.7454600345643894,0.0,0
0.475,0.42813323987193935,40.0,0.826815117525513,0.826815117525513,0.0,0
0.475,0.42813323987193935,45.0,0.8988536230698636,0.8988536230698636,0.0,0
0.475,0.42813323987193935,50.0,0.9618549122981503,0.9618549122981503,0.0,0
0.475,0.42813323987193935,55.0,1.0154195028388544,1.0154195028388544,0.0,0
0.475,0.42813323987193935,60.0,1.059715379133357,1.059715379133357,0.0,0
0.475,0.42813323987193935,65.0,1.094975461997708,1.094975461997708,0.0,0
0.475,0.42813323987193935,70.0,1.1227306365068734,1.1227306365068734,0.0,0
0.475,0.42813323987193935,75.0,1.1428581748685505,1.1428581748685505,0.0,0
0.475,0.42813323987193935,80.0,2.294122924328002,1.1567474044391517,1.1373755198888502,1
0.475,0.42813323987193935,85.0,5.508742065135486,1.164882087979124,4.343859977156362,1
0.475,0.42813323987193935,90.0,5.501597471901151,1.1679057919617855,4.333691679939366,1
0.475,0.5455594781168519,0.0,-0.0,-0.0,0.0,0
0.475,0.5455594781168519,5.0,0.10889787182437473,0.10889787182437473,0.0,0
0.475,0.5455594781168519,10.0,0.21684428553622204,0.21684428553622204,0.0,0
0.475,0.5455594781168519,15.0,0.32169814784143774,0.32169814784143774,0.0,0
0.475,0.5455594781168519,20.0,0.422987392922014,0.422987392922014,0.0,0
